$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
ServiceNow, Inc.                            -0.546072773 0.1212588 -0.004727251
ServiceTitan, Inc.                          -0.564900251 0.1212588 -0.004727251
SEVEN NETWORKS INC                          -0.700412253 0.1212588 -0.004727251
SharedLabs, Inc                             -0.580871940 0.1212588 -0.004727251
SharpSpring, Inc.                           -0.548034519 0.1212588 -0.004727251
SHELDAHL INC                                -0.751239621 0.1212588 -0.004727251
Shoals Technologies Group, Inc.             -0.472420357 0.1212588 -0.004727251
SHOPIFY INC.                                -0.609028243 0.1212588 -0.004727251
ShoreTel Inc                                -0.541937435 0.1212588 -0.004727251
SIERRA WIRELESS INC                         -0.555854657 0.1212588 -0.004727251
SIGMA DESIGNS INC                           -0.520696358 0.1212588 -0.004727251
SIGMATRON INTERNATIONAL INC                 -0.558884255 0.1212588 -0.004727251
SILICOM LTD.                                -0.633797446 0.1212588 -0.004727251
SILICON IMAGE INC                            0.034028455 0.1212588 -0.004727251
SILICON LABORATORIES INC.                   -0.734213479 0.1212588 -0.004727251
SILICONIX INC                               -0.556347165 0.1212588 -0.004727251
SIMILARWEB LTD.                             -0.547517389 0.1212588 -0.004727251
SIMPLEX SOLUTIONS INC                       -0.492218747 0.1212588 -0.004727251
SIMTEK CORP                                 -0.608320846 0.1212588 -0.004727251
Simulations Plus, Inc.                      -0.474471526 0.1212588 -0.004727251
SINA CORP                                   -0.326236956 0.1212588 -0.004727251
SIRIUS SOFTWARE INC                         -0.588810165 0.1212588 -0.004727251
SITE TECHNOLOGIES INC                        0.334258802 0.1212588 -0.004727251
SITIME Corp                                 -0.532864496 0.1212588 -0.004727251
SJ Electronics, Inc.                        -0.842399492 0.1212588 -0.004727251
SK hynix Inc.                               -0.266069893 0.1212588 -0.004727251
Skillsoft (US) Corp                         -0.470098945 0.1212588 -0.004727251
SkillSoft Ltd                               -0.530095443 0.1212588 -0.004727251
SkyWater Technology, Inc                    -0.308249832 0.1212588 -0.004727251
SKYWORKS SOLUTIONS, INC.                    -0.472039967 0.1212588 -0.004727251
SL INDUSTRIES INC                           -0.158689419 0.1212588 -0.004727251
Slack Technologies, Inc.                    -0.580751858 0.1212588 -0.004727251
SMART MODULAR TECHNOLOGIES INC              -0.632042841 0.1212588 -0.004727251
SMART Technologies Inc.                     -0.676722432 0.1212588 -0.004727251
SmartRent, Inc.                             -0.652704443 0.1212588 -0.004727251
SMARTSHEET INC                              -0.559736052 0.1212588 -0.004727251
SMITH MICRO SOFTWARE, INC.                  -0.378611109 0.1212588 -0.004727251
SMTC CORP                                   -0.481481736 0.1212588 -0.004727251
Snap Inc                                    -0.585221390 0.1212588 -0.004727251
SNAPSHOT INC                                -0.752419824 0.1212588 -0.004727251
Snowflake Inc.                              -0.563884756 0.1212588 -0.004727251
SOCKET MOBILE, INC.                         -0.618121189 0.1212588 -0.004727251
SOFTECH INC                                 -0.389953427 0.1212588 -0.004727251
SOFTWARE COM INC                            -0.417599419 0.1212588 -0.004727251
SOLAREDGE TECHNOLOGIES, INC.                -0.643271664 0.1212588 -0.004727251
SolarWinds, Inc.                            -0.556569125 0.1212588 -0.004727251
SOLERA CORP.                                -0.563228676 0.1212588 -0.004727251
SOLERA HOLDINGS, INC                        -0.649588284 0.1212588 -0.004727251
SOLITRON DEVICES INC                        -0.667124525 0.1212588 -0.004727251
SONIC FOUNDRY INC                           -0.600604932 0.1212588 -0.004727251
Sonics, Inc.                                -0.454653652 0.1212588 -0.004727251
SONNEN Corp                                 -0.571104637 0.1212588 -0.004727251
SOPHEON PLC                                 -0.526518295 0.1212588 -0.004727251
SOUNDTHINKING, INC.                         -0.528088014 0.1212588 -0.004727251
SOURCE PHOTONICS INC                        -0.702470085 0.1212588 -0.004727251
SOUTHERN ENERGY COMPANY, INC.               -0.187790411 0.1212588 -0.004727251
SPACE EXPLORATION TECHNOLOGIES CORP         -0.657699085 0.1212588 -0.004727251
SPACE SYSTEMS/LORAL, INC.                   -0.587033352 0.1212588 -0.004727251
Spansion Inc.                               -0.304849436 0.1212588 -0.004727251
SPARTON CORP                                -0.610134303 0.1212588 -0.004727251
SPD HOLDINGS INC                             0.170296870 0.1212588 -0.004727251
SPECTRA SYSTEMS CORP                        -0.357768958 0.1212588 -0.004727251
SPECTRALINK CORP                            -0.602132662 0.1212588 -0.004727251
SPECTRUM CONTROL INC                        -0.009564662 0.1212588 -0.004727251
SPIRE Corp                                  -0.455979896 0.1212588 -0.004727251
SPLUNK INC                                  -0.505386331 0.1212588 -0.004727251
SPR INC                                     -0.362726782 0.1212588 -0.004727251
Sprinklr, Inc.                              -0.539828333 0.1212588 -0.004727251
Sprout Social, Inc.                         -0.638439539 0.1212588 -0.004727251
SPS COMMERCE INC                            -0.598002781 0.1212588 -0.004727251
SPYGLASS INC                                -0.604500014 0.1212588 -0.004727251
SQA INC                                     -0.449489027 0.1212588 -0.004727251
Squarespace, Inc.                           -0.601468877 0.1212588 -0.004727251
SRA INTERNATIONAL, INC.                     -0.621478163 0.1212588 -0.004727251
SS&C Technologies Holdings Inc              -0.538159645 0.1212588 -0.004727251
SS&C TECHNOLOGIES INC                       -0.609231723 0.1212588 -0.004727251
STAC INC                                    -0.648316279 0.1212588 -0.004727251
Stanley, Inc.                               -0.314085372 0.1212588 -0.004727251
STAR TECHNOLOGIES INC                       -0.633160730 0.1212588 -0.004727251
STARBASE CORP                               -0.617419197 0.1212588 -0.004727251
STATS CHIPPAC, INC.                         -0.535678022 0.1212588 -0.004727251
STEC, INC.                                  -0.593803407 0.1212588 -0.004727251
STEELCLOUD INC                              -0.447909452 0.1212588 -0.004727251
STEM, INC.                                  -0.532767244 0.1212588 -0.004727251
STERLING SOFTWARE INC                       -0.628571741 0.1212588 -0.004727251
STI GROUP INC                               -0.184245437 0.1212588 -0.004727251
STM WIRELESS INC                            -0.531101398 0.1212588 -0.004727251
STRATACOM INC                               -0.610261014 0.1212588 -0.004727251
STRATASYS INC                               -0.441439215 0.1212588 -0.004727251
STRATEGIA CORP                              -0.564519112 0.1212588 -0.004727251
STRATUS COMPUTER INC                         0.012673068 0.1212588 -0.004727251
STRATUS TECHNOLOGIES, INC.                  -0.553130978 0.1212588 -0.004727251
STREAMLINE HEALTH SOLUTIONS INC.            -0.610968239 0.1212588 -0.004727251
SuccessFactors, Inc.                        -0.664770520 0.1212588 -0.004727251
Sumo Logic, Inc.                            -0.551863335 0.1212588 -0.004727251
SUMTOTAL SYSTEMS INC                        -0.529520084 0.1212588 -0.004727251
SUN                                         -0.530548882 0.1212588 -0.004727251
SUN MICROSYSTEMS, INC.                      -0.625124954 0.1212588 -0.004727251
SunEdison Semiconductor Ltd                 -0.624348306 0.1212588 -0.004727251
SUNEDISON, INC.                             -0.632265577 0.1212588 -0.004727251
SunGard                                     -0.608658242 0.1212588 -0.004727251
SUNPOWER CORP                               -0.574123124 0.1212588 -0.004727251
SUNQUEST INFORMATION SYSTEMS INC            -0.572459456 0.1212588 -0.004727251
Super Micro Computer, Inc.                  -0.645364381 0.1212588 -0.004727251
SuperCom Ltd                                -0.523308360 0.1212588 -0.004727251
SUPERTEX INC                                -0.535756971 0.1212588 -0.004727251
Switch, Inc.                                -0.510205936 0.1212588 -0.004727251
SYBASE INC                                  -0.506717681 0.1212588 -0.004727251
SYKES ENTERPRISES INC                       -0.587855056 0.1212588 -0.004727251
SYMMETRICOM INC                             -0.586709399 0.1212588 -0.004727251
Synacor, Inc.                               -0.688180452 0.1212588 -0.004727251
SYNAPTICS Inc                               -0.438579062 0.1212588 -0.004727251
SYNCHRONICITY INC                           -0.546861590 0.1212588 -0.004727251
SYNCHRONOSS TECHNOLOGIES INC                -0.485499074 0.1212588 -0.004727251
SYNOPSYS INC                                -0.558737930 0.1212588 -0.004727251
SYNTECH INTERNATIONAL INC                   -0.424624103 0.1212588 -0.004727251
SYNTEL INC                                  -0.546113230 0.1212588 -0.004727251
Syntiant Corp.                              -0.606418138 0.1212588 -0.004727251
Sysorex, Inc.                               -0.620964230 0.1212588 -0.004727251
System1, Inc.                               -0.551946242 0.1212588 -0.004727251
SYSTEMS WEST INC                            -0.412781524 0.1212588 -0.004727251
T1V, Inc.                                   -0.640153917 0.1212588 -0.004727251
Tableau Software Inc                        -0.612926863 0.1212588 -0.004727251
TAKE TWO INTERACTIVE SOFTWARE INC           -0.502505696 0.1212588 -0.004727251
TALX CORP                                   -0.496625993 0.1212588 -0.004727251
TAMPA BAY CORP                              -0.477134075 0.1212588 -0.004727251
TANGOE INC                                  -0.512378324 0.1212588 -0.004727251
TCI INTERNATIONAL INC                       -0.398251994 0.1212588 -0.004727251
TCI SOLUTIONS INC                           -0.526486721 0.1212588 -0.004727251
TCSI CORP                                   -0.488979839 0.1212588 -0.004727251
TDK CORP                                    -0.548571503 0.1212588 -0.004727251
TECHFORCE CORP                              -0.592111827 0.1212588 -0.004727251
TECHNICAL COMMUNICATIONS CORP               -0.558356432 0.1212588 -0.004727251
TECHNOLOGY SOLUTIONS COMPANY                -0.677842909 0.1212588 -0.004727251
Techpoint, Inc.                             -0.876611031 0.1212588 -0.004727251
TechSoup Global                             -0.591400301 0.1212588 -0.004727251
TECHWELL INC                                -0.746421275 0.1212588 -0.004727251
TEKELEC                                     -0.061515593 0.1212588 -0.004727251
TEKNOWLEDGE CORP                            -0.441489683 0.1212588 -0.004727251
Tekumo, Inc.                                -0.591210401 0.1212588 -0.004727251
TEL INSTRUMENT ELECTRONICS CORP             -0.804303002 0.1212588 -0.004727251
TELECT INC                                  -0.088498661 0.1212588 -0.004727251
TELEDATA COMMUNICATIONS LTD                 -0.529812448 0.1212588 -0.004727251
Teledyne FLIR, LLC                          -0.380188961 0.1212588 -0.004727251
TELEDYNE INC                                -0.576262922 0.1212588 -0.004727251
TELEDYNE TECHNOLOGIES INC                   -0.484253636 0.1212588 -0.004727251
TELEMETRIX INC                              -0.531281488 0.1212588 -0.004727251
Telenav, Inc.                               -0.476673905 0.1212588 -0.004727251
TELLABS INC                                 -0.595182749 0.1212588 -0.004727251
TELOS CORP                                  -0.608165379 0.1212588 -0.004727251
TELULAR CORP                                -0.622022992 0.1212588 -0.004727251
TELVUE CORP                                 -0.511593556 0.1212588 -0.004727251
Tempus AI, Inc.                             -0.671517441 0.1212588 -0.004727251
TESSERA INC                                 -0.491153476 0.1212588 -0.004727251
TESSERA TECHNOLOGIES INC                    -0.661774734 0.1212588 -0.004727251
TEXAS INSTRUMENTS INC                       -0.479701977 0.1212588 -0.004727251
Textura Corp                                -0.650422777 0.1212588 -0.004727251
THQ INC                                     -0.481385163 0.1212588 -0.004727251
TIBCO SOFTWARE INC                          -0.598566194 0.1212588 -0.004727251
TIE COMMUNICATIONS INC                      -0.496618371 0.1212588 -0.004727251
TigerLogic CORP                             -0.583256434 0.1212588 -0.004727251
TIGO ENERGY, INC.                           -0.262273611 0.1212588 -0.004727251
Titan Environmental Solutions Inc.          -0.499919289 0.1212588 -0.004727251
Titanium Group LTD                          -0.523099204 0.1212588 -0.004727251
TOMAX CORP                                  -0.548493938 0.1212588 -0.004727251
TOROTEL INC                                 -0.457872330 0.1212588 -0.004727251
TOSHIBA CORP                                -0.518542853 0.1212588 -0.004727251
TOWER SEMICONDUCTOR LTD                     -0.576363874 0.1212588 -0.004727251
TOYO Co., Ltd                               -0.382947401 0.1212588 -0.004727251
Track Group, Inc.                           -0.556055904 0.1212588 -0.004727251
Trade Desk, Inc.                            -0.493253089 0.1212588 -0.004727251
TRANSACT TECHNOLOGIES INC                   -0.272721846 0.1212588 -0.004727251
TransparentBusiness, Inc.                   -0.400583386 0.1212588 -0.004727251
Transphorm, Inc.                            -0.585808742 0.1212588 -0.004727251
TREEV INC                                   -0.548014193 0.1212588 -0.004727251
TREND MICRO INC                             -0.469818869 0.1212588 -0.004727251
TRIAD SYSTEMS CORP                          -0.665011081 0.1212588 -0.004727251
TRIDEX CORP                                 -0.453523627 0.1212588 -0.004727251
Triller Corp.                               -0.557686966 0.1212588 -0.004727251
TRIMAX CORP                                 -0.528005690 0.1212588 -0.004727251
Trina Solar LTD                             -0.479606838 0.1212588 -0.004727251
TRINITY WORKS INC                           -0.283775161 0.1212588 -0.004727251
TripAdvisor, Inc.                           -0.620657720 0.1212588 -0.004727251
TRIPOS INC                                  -0.637491751 0.1212588 -0.004727251
TRIPWIRE INC                                -0.532595923 0.1212588 -0.004727251
TRIQUINT SEMICONDUCTOR INC                  -0.722719158 0.1212588 -0.004727251
TROY GROUP INC                               0.518821687 0.1212588 -0.004727251
TruBridge, Inc.                             -0.600336194 0.1212588 -0.004727251
TrueCar, Inc.                               -0.595383350 0.1212588 -0.004727251
TRUEVISION INC                               0.114610664 0.1212588 -0.004727251
Trustwave Holdings, Inc.                    -0.610063837 0.1212588 -0.004727251
TSR INC                                     -0.484470369 0.1212588 -0.004727251
TSX CORP                                    -0.462737815 0.1212588 -0.004727251
TTM TECHNOLOGIES INC                        -0.404964139 0.1212588 -0.004727251
TUBEMOGUL INC                               -0.620061316 0.1212588 -0.004727251
Turtle Beach Corp                           -0.277418220 0.1212588 -0.004727251
TVI CORP                                    -0.518342597 0.1212588 -0.004727251
TWILIO INC                                  -0.570617630 0.1212588 -0.004727251
TWITTER, INC.                               -0.574441557 0.1212588 -0.004727251
TYCOM LTD                                   -0.496897991 0.1212588 -0.004727251
TYLER TECHNOLOGIES INC                      -0.614505146 0.1212588 -0.004727251
UAV Corp                                    -0.629939986 0.1212588 -0.004727251
Ubiquiti Inc.                               -0.604165102 0.1212588 -0.004727251
UGS Corp.                                   -0.658609897 0.1212588 -0.004727251
UiPath, Inc.                                -0.548611157 0.1212588 -0.004727251
ULTIMATE SOFTWARE GROUP INC                 -0.489256338 0.1212588 -0.004727251
Ultra Clean Holdings, Inc.                  -0.611040365 0.1212588 -0.004727251
UNISON SOFTWARE INC                         -0.601284907 0.1212588 -0.004727251
UNISYS CORP                                 -0.535325647 0.1212588 -0.004727251
United American Corp                        -0.574313075 0.1212588 -0.004727251
UNITED ONLINE INC                           -0.676067515 0.1212588 -0.004727251
UNITED SYSTEMS TECHNOLOGY INC               -0.627231778 0.1212588 -0.004727251
Unity Software Inc.                         -0.546438591 0.1212588 -0.004727251
Updater Inc.                                -0.643701941 0.1212588 -0.004727251
Upland Software, Inc.                       -0.561641458 0.1212588 -0.004727251
UQM TECHNOLOGIES INC                        -0.709029326 0.1212588 -0.004727251
USCS INTERNATIONAL INC                      -0.574012108 0.1212588 -0.004727251
UserTesting, Inc.                           -0.630024541 0.1212588 -0.004727251
USWEB CORP                                  -0.800470724 0.1212588 -0.004727251
Valens Semiconductor Ltd.                   -0.435424996 0.1212588 -0.004727251
Vangent, Inc.                               -0.585946877 0.1212588 -0.004727251
Varex Imaging Corp                          -0.206031119 0.1212588 -0.004727251
VARONIS SYSTEMS INC                         -0.618603688 0.1212588 -0.004727251
VASCO CORP                                  -0.521236642 0.1212588 -0.004727251
Vecima Networks Inc.                        -0.611707061 0.1212588 -0.004727251
VECTr SYSTEMS INC                           -0.689350072 0.1212588 -0.004727251
VEEA INC.                                   -0.789512045 0.1212588 -0.004727251
VEEVA SYSTEMS INC                           -0.597219663 0.1212588 -0.004727251
Veradigm Inc.                               -0.534810974 0.1212588 -0.004727251
VERIDIAN CORP                               -0.624766894 0.1212588 -0.004727251
VERIFONE INC                                -0.362779135 0.1212588 -0.004727251
VERIFONE SYSTEMS, INC.                      -0.560760587 0.1212588 -0.004727251
Verigy Ltd.                                 -0.515083222 0.1212588 -0.004727251
VERINT SYSTEMS INC                          -0.436009719 0.1212588 -0.004727251
VERITAS SOFTWARE CORP                       -0.593595363 0.1212588 -0.004727251
VERSANT CORP                                -0.556464126 0.1212588 -0.004727251
VERSATA INC                                 -0.616147831 0.1212588 -0.004727251
VERSATILITY INC                             -0.414930211 0.1212588 -0.004727251
VERSO TECHNOLOGIES INC                      -0.660060339 0.1212588 -0.004727251
Vertex, Inc.                                -0.524560098 0.1212588 -0.004727251
Vertical Communications, Inc.               -0.626391875 0.1212588 -0.004727251
Via Transportation, Inc.                    -0.501919036 0.1212588 -0.004727251
Viant Technology Inc.                       -0.543540640 0.1212588 -0.004727251
VIASYSTEMS GROUP INC                        -0.597136826 0.1212588 -0.004727251
VIASYSTEMS INC                              -0.594397881 0.1212588 -0.004727251
VIAVI SOLUTIONS INC.                        -0.475619612 0.1212588 -0.004727251
VICOR CORP                                  -0.478367957 0.1212588 -0.004727251
VICTOR TECHNOLOGIES INC                     -0.578441178 0.1212588 -0.004727251
VIDEO DISPLAY CORP                          -0.501760873 0.1212588 -0.004727251
VIEWSONIC CORP                              -0.538544349 0.1212588 -0.004727251
VIGNETTE CORP                               -0.676534508 0.1212588 -0.004727251
Vimeo, Inc.                                 -0.582123830 0.1212588 -0.004727251
Vincera, Inc.                               -0.556298196 0.1212588 -0.004727251
Violin Memory Inc                           -0.542692583 0.1212588 -0.004727251
VIQ Solutions Inc.                          -0.529005015 0.1212588 -0.004727251
VIRTUSA CORP                                -0.447002556 0.1212588 -0.004727251
VISHAY INTERTECHNOLOGY INC                  -0.526253467 0.1212588 -0.004727251
Vishay Precision Group, Inc.                -0.543174620 0.1212588 -0.004727251
VISIO CORP                                  -0.569234071 0.1212588 -0.004727251
VITAL IMAGES INC                            -0.297037437 0.1212588 -0.004727251
VITRIA TECHNOLOGY INC                       -0.701988483 0.1212588 -0.004727251
Vivid Learning Systems, Inc.                -0.608434335 0.1212588 -0.004727251
Vivint Smart Home, Inc.                     -0.606165071 0.1212588 -0.004727251
VMWARE LLC                                  -0.554029187 0.1212588 -0.004727251
VMX INC                                     -0.610694635 0.1212588 -0.004727251
VNG Ltd                                     -0.448780387 0.1212588 -0.004727251
VOCERA COMMUNICATIONS, INC.                 -0.626460311 0.1212588 -0.004727251
Vocus, Inc.                                 -0.542970646 0.1212588 -0.004727251
Voltaire Ltd.                               -0.593366943 0.1212588 -0.004727251
VOLTERRA SEMICONDUCTOR CORP                 -0.602722392 0.1212588 -0.004727251
VOTERITE, INC.                               0.069505035 0.1212588 -0.004727251
VOXWARE INC                                 -0.647624711 0.1212588 -0.004727251
VTEX                                        -0.544307125 0.1212588 -0.004727251
Vuzix Corp                                  -0.434074464 0.1212588 -0.004727251
WalkMe Ltd.                                 -0.519910420 0.1212588 -0.004727251
WATCHGUARD TECHNOLOGIES INC                 -0.610142640 0.1212588 -0.004727251
WatchGuard, Inc.                            -0.633103374 0.1212588 -0.004727251
WAVE SYSTEMS CORP                           -0.585083082 0.1212588 -0.004727251
Waverly Labs Inc                            -0.508525080 0.1212588 -0.004727251
WEARABLE HEALTH SOLUTIONS, INC.             -0.428094393 0.1212588 -0.004727251
Weave Communications, Inc.                  -0.638701878 0.1212588 -0.004727251
WEB.COM GROUP, INC.                         -0.530601630 0.1212588 -0.004727251
WEBMD CORP                                  -0.593105427 0.1212588 -0.004727251
WEBTRENDS CORP                              -0.620700533 0.1212588 -0.004727251
WESTERN DIGITAL CORP                        -0.532393866 0.1212588 -0.004727251
WESTERN DIGITAL TECHNOLOGIES INC            -0.734578460 0.1212588 -0.004727251
Where Food Comes From, Inc.                 -0.600763006 0.1212588 -0.004727251
WIDEPOINT CORP                              -0.582509753 0.1212588 -0.004727251
WIND RIVER SYSTEMS INC                      -0.547077435 0.1212588 -0.004727251
WINK COMMUNICATIONS INC                     -0.582615415 0.1212588 -0.004727251
WIPRO LTD                                   -0.578958933 0.1212588 -0.004727251
WIRELESS INC                                -0.543034506 0.1212588 -0.004727251
WIRELESS TELECOM GROUP INC                  -0.808452873 0.1212588 -0.004727251
WITH, INC.                                  -0.546054264 0.1212588 -0.004727251
WM TECHNOLOGY, INC.                         -0.534635471 0.1212588 -0.004727251
WOLFSPEED, INC.                             -0.523503409 0.1212588 -0.004727251
WORKIVA INC                                 -0.643763564 0.1212588 -0.004727251
WORLDWIDE TECHNOLOGIES INC                  -0.512589254 0.1212588 -0.004727251
Xactly Corp                                 -0.531553706 0.1212588 -0.004727251
XEROX CORP                                  -0.539674909 0.1212588 -0.004727251
XILINX INC                                  -0.540428157 0.1212588 -0.004727251
Xperi Corp                                  -0.610031457 0.1212588 -0.004727251
XPLORE TECHNOLOGIES CORP                    -0.553970087 0.1212588 -0.004727251
XRS Corp                                    -0.181185008 0.1212588 -0.004727251
XTERA COMMUNICATIONS, INC.                  -0.760815457 0.1212588 -0.004727251
YODLEE INC                                  -0.624365125 0.1212588 -0.004727251
Zedge, Inc.                                 -0.651267015 0.1212588 -0.004727251
Zerto, Ltd.                                 -0.516603990 0.1212588 -0.004727251
ZI CORP                                     -0.641975042 0.1212588 -0.004727251
ZILOG INC                                   -0.565305103 0.1212588 -0.004727251
ZING TECHNOLOGIES INC                       -0.498784428 0.1212588 -0.004727251
ZIPRECRUITER, INC.                          -0.623940034 0.1212588 -0.004727251
Zoom Communications, Inc.                   -0.690788335 0.1212588 -0.004727251
ZoomInfo Technologies Inc.                  -0.525065418 0.1212588 -0.004727251
ZOOSK, INC                                  -0.510640590 0.1212588 -0.004727251
Zscaler, Inc.                               -0.494050578 0.1212588 -0.004727251
zSpace, Inc.                                -0.585317099 0.1212588 -0.004727251
ZUORA INC                                   -0.563920290 0.1212588 -0.004727251
                                            is_sec_insiderTRUE
@ROAD, INC                                           0.6013585
2U, LLC                                              0.6013585
3AM TECHNOLOGIES INC                                 0.6013585
3COM CORP                                            0.6013585
3D SYSTEMS CORP                                      0.6013585
3FORCES INC.                                         0.6013585
724 SOLUTIONS INC                                    0.6013585
A10 Networks, Inc.                                   0.6013585
Ability Inc.                                         0.6013585
ABOUT, INC.                                          0.6013585
ABSOLUTE ENTERTAINMENT INC                           0.6013585
ABSOLUTE SOFTWARE CORP                               0.6013585
Acacia Communications, Inc.                          0.6013585
ACCELRYS, INC.                                       0.6013585
ACCESS CORP                                          0.6013585
ACI WORLDWIDE, INC.                                  0.6013585
ACME PACKET INC                                      0.6013585
ACT MANUFACTURING INC                                0.6013585
ACT NETWORKS INC                                     0.6013585
ACTIVE NETWORK INC                                   0.6013585
ACTIVECARE, INC.                                     0.6013585
Activision Blizzard, Inc.                            0.6013585
ACTUATE CORP                                         0.6013585
ADAM INC                                             0.6013585
ADAPTIVE INSIGHTS INC                                0.6013585
ADAPTIVE SOLUTIONS INC                               0.6013585
ADESTO TECHNOLOGIES Corp                             0.6013585
ADOBE INC.                                           0.6013585
ADVA INTERNATIONAL INC                               0.6013585
ADVANCE CIRCUITS INC                                 0.6013585
ADVANCED COMMUNICATION SYSTEMS INC                   0.6013585
ADVANCED ENERGY INDUSTRIES INC                       0.6013585
ADVANCED MEDIA INC                                   0.6013585
ADVANCED MICRO DEVICES INC                           0.6013585
ADVANCED PHOTONIX INC                                0.6013585
Advanced Resources Group, Ltd.                       0.6013585
ADVANTEST CORP                                       0.6013585
Aegis Identity Software, Inc.                        0.6013585
AEL INDUSTRIES INC                                   0.6013585
AEROFLEX INC                                         0.6013585
AEROHIVE NETWORKS, INC                               0.6013585
AESP INC                                             0.6013585
Afiniti, Ltd.                                        0.6013585
AFN INC                                              0.6013585
AFR Inc.                                             0.6013585
AGILE SOFTWARE CORP                                  0.6013585
AGILYSYS INC                                         0.6013585
Agora, Inc.                                          0.6013585
AIRGAIN INC                                          0.6013585
AIRSPAN NETWORKS INC                                 0.6013585
AIRVANA INC                                          0.6013585
Alarum Technologies Ltd.                             0.6013585
ALCATEL LUCENT                                       0.6013585
ALCATEL-LUCENT USA INC.                              0.6013585
Alfi, Inc.                                           0.6013585
Alien Technology Corp                                0.6013585
ALKAMI TECHNOLOGY, INC.                              0.6013585
ALLAIRE CORP                                         0.6013585
ALLEGRO MICROSYSTEMS, INC.                           0.6013585
Allot Ltd.                                           0.6013585
ALPHA & OMEGA SEMICONDUCTOR Ltd                      0.6013585
Alphabet Inc.                                        0.6013585
ALPS ALPINE CO., LTD.                                0.6013585
ALR TECHNOLOGIES INC.                                0.6013585
Altair Engineering Inc.                              0.6013585
ALTERA CORP                                          0.6013585
Alteryx, Inc.                                        0.6013585
ALTIGEN COMMUNICATIONS INC                           0.6013585
ALTRON INC                                           0.6013585
AM COMMUNICATIONS INC                                0.6013585
AMANDA CO INC                                        0.6013585
AMBARELLA INC                                        0.6013585
Amber Road, Inc.                                     0.6013585
Ambiq Micro, Inc.                                    0.6013585
AMDOCS LTD                                           0.6013585
AMERICAN ELECTRONIC COMPONENTS INC                   0.6013585
AMERICAN TECHNICAL CERAMICS CORP                     0.6013585
AMERICAN TOWER CORP                                  0.6013585
Amesite Inc.                                         0.6013585
AMICAS, Inc.                                         0.6013585
AMIS HOLDINGS INC                                    0.6013585
AMKOR TECHNOLOGY, INC.                               0.6013585
AMP INC                                              0.6013585
AMPEX CORP                                           0.6013585
Amplitude, Inc.                                      0.6013585
ANADIGICS INC                                        0.6013585
ANALEX CORP                                          0.6013585
ANALOG DEVICES INC                                   0.6013585
ANALYSTS INTERNATIONAL CORP                          0.6013585
ANALYTICAL GRAPHICS INC                              0.6013585
Anaplan, Inc.                                        0.6013585
ANAREN  INC                                          0.6013585
ANSA COMMUNICATIONS INC                              0.6013585
Answers CORP                                         0.6013585
ANSYS INC                                            0.6013585
ANTEC CORP                                           0.6013585
AOL LLC                                              0.6013585
APERTURE TECHNOLOGIES INC                            0.6013585
APEX INC                                             0.6013585
API Technologies Corp.                               0.6013585
Apigee Corp                                          0.6013585
APPDYNAMICS INC                                      0.6013585
APPFOLIO INC                                         0.6013585
Appgate, Inc.                                        0.6013585
APPIAN, INC.                                         0.6013585
Apple Inc.                                           0.6013585
APPLIED ENERGETICS, INC.                             0.6013585
APPLIED INNOVATION INC                               0.6013585
APPLIED MICRO CIRCUITS CORP                          0.6013585
APPLIED OPTOELECTRONICS, INC.                        0.6013585
APPLIED SYSTEMS INC                                  0.6013585
AppLovin Corp                                        0.6013585
Apptio Inc                                           0.6013585
APRECIA INC                                          0.6013585
Aprimo, INC                                          0.6013585
Apttus Corp                                          0.6013585
APTUS CORP                                           0.6013585
AQUANTIA CORP                                        0.6013585
ARIBA INC                                            0.6013585
ARIEL CORP                                           0.6013585
ARIS CORP/                                           0.6013585
Arise Technologies Inc.                              0.6013585
Arista Networks, Inc.                                0.6013585
ARKONA INC                                           0.6013585
ARM HOLDINGS PLC                                     0.6013585
Array Technologies, Inc.                             0.6013585
ARRIS GROUP INC                                      0.6013585
ARRIS International plc                              0.6013585
Arteris, Inc.                                        0.6013585
ARUBA NETWORKS, INC.                                 0.6013585
ASA INTERNATIONAL LTD                                0.6013585
Asana, Inc.                                          0.6013585
Ascent Solar Technologies, Inc.                      0.6013585
ASPECT DEVELOPMENT INC                               0.6013585
Aspect Software, Inc.                                0.6013585
Aspen Technology, Inc.                               0.6013585
ASPENTECH Corp                                       0.6013585
ASTEA INTERNATIONAL INC                              0.6013585
Astera Labs, Inc.                                    0.6013585
AstroNova, Inc.                                      0.6013585
ASURE SOFTWARE INC                                   0.6013585
AT COMM CORP                                         0.6013585
AT HOME CORP                                         0.6013585
Atakama Inc.                                         0.6013585
ATARI CORP                                           0.6013585
ATI TECHNOLOGIES INC                                 0.6013585
ATL PRODUCTS INC                                     0.6013585
Atlassian Corp                                       0.6013585
ATMEL CORP                                           0.6013585
AtomBeam Technologies Inc.                           0.6013585
Atomera Inc                                          0.6013585
ATTACHMATE CORP                                      0.6013585
ATTUNITY LTD                                         0.6013585
AUDIENCE INC                                         0.6013585
AUDIOCODES LTD                                       0.6013585
AUDIOEYE INC                                         0.6013585
AULT INC                                             0.6013585
Aurora Innovation, Inc.                              0.6013585
Aurum, Inc.                                          0.6013585
Autodesk, Inc.                                       0.6013585
AutoWeb, Inc.                                        0.6013585
Avago Technologies LTD                               0.6013585
AVALARA, INC.                                        0.6013585
